,index,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
23,23,24,9,2,3,0,1,0,1,6,1,181,0,26,0,2,8,18,16,287,8,0
24,24,20,0,1,3,0,1,0,1,6,1,172,0,26,0,2,8,18,16,287,8,0
25,25,18,9,1,6,0,0,1,1,6,1,99,0,26,0,2,8,18,16,287,8,0
26,26,42,9,1,7,0,1,0,1,6,1,93,0,26,0,2,8,18,16,287,8,0
27,27,22,6,1,2,2,0,0,1,6,1,233,0,26,0,2,8,18,16,287,8,0
28,28,37,9,2,6,2,0,0,1,6,1,255,1,26,0,2,8,18,16,287,8,0
29,29,38,11,1,6,2,2,2,1,6,1,362,0,26,0,2,8,18,16,287,8,0
30,30,29,0,1,7,0,0,0,1,6,1,348,0,26,0,2,8,18,16,287,8,0
31,31,42,9,1,7,0,1,0,1,6,1,386,0,26,0,2,8,18,16,287,8,0
32,32,32,1,1,7,0,0,0,1,6,1,73,0,26,0,2,8,18,16,287,8,0
33,33,37,4,1,0,2,1,0,1,6,1,230,0,26,0,2,8,18,16,287,8,0
34,34,37,1,0,0,0,0,0,1,6,1,208,0,26,0,2,8,18,16,287,8,0
35,35,38,11,1,0,2,1,0,1,6,1,336,0,26,0,2,8,18,16,287,8,0
36,36,17,7,1,3,0,0,0,1,6,1,365,0,26,0,2,8,18,16,287,8,0
37,37,35,9,1,2,0,1,0,1,6,1,1425,0,26,0,2,8,18,16,287,8,0
38,38,24,0,1,6,0,1,0,1,6,1,577,0,26,0,2,8,18,16,287,8,0
39,39,39,9,1,0,0,1,0,1,6,1,137,0,26,0,2,8,18,16,287,8,0
40,40,41,4,3,6,0,1,0,1,6,1,366,0,26,0,2,8,18,16,287,8,0
41,41,15,2,1,3,0,1,0,1,6,1,314,0,26,0,2,8,18,16,287,8,0
42,42,21,0,2,5,0,0,0,1,6,1,160,0,26,0,2,8,18,16,287,8,0
43,43,40,0,1,6,0,0,1,1,6,1,212,0,26,0,2,8,18,16,287,8,0
44,44,27,0,1,6,2,1,0,1,6,1,188,0,26,0,2,8,18,16,287,8,0
45,45,25,9,2,5,2,0,0,1,6,1,22,0,26,0,2,8,18,16,287,8,0
46,46,40,0,1,6,0,1,1,1,6,1,616,0,26,0,2,8,18,16,287,8,0
47,47,23,1,1,2,0,0,1,1,6,1,178,0,26,0,2,8,18,16,287,8,0
48,48,18,0,1,6,0,1,0,1,6,1,355,0,26,0,2,8,18,16,287,8,0
49,49,28,1,1,2,0,1,0,1,6,1,225,1,26,0,2,8,18,16,287,8,0
50,50,37,0,1,3,0,0,0,1,6,1,160,0,26,0,2,8,18,16,287,8,0
51,51,22,3,1,0,0,0,1,1,6,1,266,0,26,0,2,8,18,16,287,8,0
52,52,43,0,1,3,0,0,0,1,6,1,253,0,26,0,2,8,18,16,287,8,0
53,53,36,0,2,5,0,0,0,1,6,1,179,0,26,0,2,8,18,16,287,8,0
54,54,38,1,1,0,2,0,0,1,6,1,269,1,26,0,2,8,18,16,287,8,0
55,55,38,9,1,5,2,1,0,1,6,1,135,0,26,0,2,8,18,16,287,8,0
56,56,33,4,1,6,2,0,1,1,6,1,161,0,26,0,2,8,18,16,287,8,0
57,57,28,7,1,3,2,1,0,1,6,1,787,0,26,0,2,8,18,16,287,8,0
58,58,38,10,1,5,2,1,1,1,6,1,145,0,26,0,2,8,18,16,287,8,0
59,59,8,9,2,6,0,1,0,1,6,1,174,0,26,0,2,8,18,16,287,8,0
60,60,30,2,1,6,2,0,0,1,6,1,449,0,26,0,2,8,18,16,287,8,0
61,61,34,1,1,2,0,1,0,1,6,1,812,0,26,0,2,8,18,16,287,8,0
62,62,25,1,1,1,2,1,0,1,6,1,164,0,26,0,2,8,18,16,287,8,0
63,63,25,1,1,1,2,0,0,1,6,1,366,0,26,0,2,8,18,16,287,8,0
64,64,31,0,1,3,0,0,0,1,6,1,357,0,26,0,2,8,18,16,287,8,0
65,65,20,0,1,6,0,0,0,1,6,1,232,0,26,0,2,8,18,16,287,8,0
66,66,27,1,2,2,0,1,0,1,6,1,91,0,26,0,2,8,18,16,287,8,0
67,67,16,0,1,7,0,1,0,1,6,1,273,0,26,0,2,8,18,16,287,8,0
68,68,39,0,1,2,0,1,0,1,6,1,158,1,26,0,2,8,18,16,287,8,0
69,69,27,1,2,0,2,1,1,1,6,1,177,0,26,0,2,8,18,16,287,8,0
70,70,24,4,1,1,0,0,0,1,6,1,200,0,26,0,2,8,18,16,287,8,0
71,71,27,4,0,6,0,1,0,1,6,1,172,0,26,0,2,8,18,16,287,8,0
72,72,30,0,1,6,2,1,0,1,6,1,176,0,26,0,2,8,18,16,287,8,0
73,73,40,11,1,7,2,0,0,1,6,1,211,0,26,0,2,8,18,16,287,8,0
74,74,20,0,1,6,2,1,0,1,6,1,214,0,26,0,2,8,18,16,287,8,0
75,75,24,1,0,0,2,1,0,1,6,1,1395,0,26,0,2,8,18,16,287,8,1
76,76,38,9,1,6,0,0,0,1,6,1,349,0,26,0,2,8,18,16,287,8,0
77,77,16,7,1,3,2,1,0,1,6,1,337,1,26,0,2,8,18,16,287,8,0
78,78,38,4,1,7,2,1,0,1,6,1,272,0,26,0,2,8,18,16,287,8,0
79,79,25,1,1,2,2,0,0,1,6,1,208,0,26,0,2,8,18,16,287,8,0
80,80,33,1,1,0,2,1,0,1,6,1,193,0,26,0,2,8,18,16,287,8,0
81,81,34,1,1,0,2,2,2,1,6,1,212,0,26,0,2,8,18,16,287,8,0
82,82,21,0,1,3,2,0,0,1,6,1,165,1,26,0,2,8,18,16,287,8,0
83,83,32,2,1,6,2,1,0,1,6,1,1034,0,26,0,2,8,18,16,287,8,1
84,84,21,9,2,6,0,0,1,1,6,1,20,0,26,0,2,8,18,16,287,8,0
85,85,14,0,0,3,0,0,0,1,6,1,246,0,26,0,2,8,18,16,287,8,0
86,86,24,4,1,1,0,0,0,1,6,1,529,1,26,0,2,8,18,16,287,8,0
87,87,22,0,1,6,0,1,1,1,6,1,192,0,26,0,2,8,18,16,287,8,0
88,88,32,9,1,2,0,0,0,1,6,1,1344,0,26,0,2,8,18,16,287,8,1
89,89,17,0,1,3,0,1,0,1,6,1,188,1,26,0,2,8,18,16,287,8,0
90,90,18,0,1,6,0,1,0,1,6,1,180,1,26,0,2,8,18,16,287,8,0
91,91,40,11,1,7,2,1,0,1,6,1,48,0,26,0,2,8,18,16,287,8,0
92,92,43,0,1,7,2,0,1,1,6,1,213,1,26,0,2,8,18,16,287,8,0
93,93,16,10,1,2,0,0,0,1,6,1,545,0,26,0,2,8,18,16,287,8,0
94,94,25,1,1,1,0,0,1,1,6,1,583,0,26,0,2,8,18,16,287,8,0
95,95,28,7,1,5,0,1,0,1,6,1,221,0,26,0,2,8,18,16,287,8,0
96,96,25,4,1,6,0,0,0,1,6,1,426,0,26,0,2,8,18,16,287,8,0
97,97,36,0,0,6,2,0,0,1,6,1,287,0,26,0,2,8,18,16,287,8,0
98,98,20,9,2,5,0,0,0,1,6,1,197,0,26,0,2,8,18,16,287,8,0
99,99,27,1,1,1,0,0,0,1,6,1,257,0,26,0,2,8,18,16,287,8,0
100,100,37,7,1,7,0,1,0,1,6,1,229,0,26,0,2,8,18,16,287,8,0
101,101,32,1,1,0,0,0,0,1,6,1,55,2,26,0,2,8,18,16,287,8,0
102,102,37,7,1,7,0,0,0,1,6,1,400,0,26,0,2,8,18,16,287,8,0
103,103,35,0,0,6,0,0,0,1,6,1,197,0,26,0,2,8,18,16,287,8,0
104,104,35,0,0,6,0,0,0,1,6,1,190,0,26,0,2,8,18,16,287,8,0
105,105,26,7,2,3,2,0,0,1,6,1,21,0,26,0,2,8,18,16,287,8,0
106,106,17,3,1,1,0,1,0,1,6,1,300,1,26,0,2,8,18,16,287,8,0
107,107,18,0,1,3,0,1,0,1,6,1,123,1,26,0,2,8,18,16,287,8,0
108,108,25,2,1,7,2,1,0,1,6,1,293,0,26,0,2,8,18,16,287,8,0
109,109,26,9,1,7,2,1,1,1,6,1,325,0,26,0,2,8,18,16,287,8,0
110,110,43,5,0,6,2,0,0,1,6,1,514,0,26,0,2,8,18,16,287,8,0
111,111,41,10,1,0,2,0,0,1,6,1,848,1,26,0,2,8,18,16,287,8,0
112,112,18,7,0,3,0,1,0,1,6,1,194,0,26,0,2,8,18,16,287,8,0
113,113,38,1,1,2,2,1,0,1,6,1,212,1,26,0,2,8,18,16,287,8,0
114,114,20,4,1,6,0,0,0,1,6,1,337,1,26,0,2,8,18,16,287,8,0
115,115,19,1,1,3,0,0,0,1,6,1,286,0,26,0,2,8,18,16,287,8,0
116,116,35,0,0,6,0,0,0,1,6,1,247,1,26,0,2,8,18,16,287,8,0
117,117,40,1,0,7,2,1,0,1,6,1,518,0,26,0,2,8,18,16,287,8,0
118,118,39,0,1,7,0,1,0,1,6,1,364,0,26,0,2,8,18,16,287,8,0
119,119,31,1,0,0,2,1,0,1,6,1,178,0,26,0,2,8,18,16,287,8,0
120,120,23,1,1,3,2,1,0,1,6,1,98,0,26,0,2,8,18,16,287,8,0
121,121,32,1,0,3,0,0,0,1,6,1,439,0,26,0,2,8,18,16,287,8,0
122,122,24,7,1,3,0,0,0,1,6,1,139,0,26,0,2,8,18,16,287,8,0
123,123,28,9,1,3,0,1,0,1,6,1,79,0,26,0,2,8,18,16,287,8,0
124,124,15,0,1,6,0,1,1,1,6,1,175,0,26,0,2,8,18,16,287,8,0
125,125,25,0,1,6,0,0,1,1,6,1,262,1,26,0,2,8,18,16,287,8,0
126,126,33,0,1,1,0,0,0,1,6,1,61,0,26,0,2,8,18,16,287,8,0
127,127,14,9,0,5,0,1,1,1,6,1,78,0,26,0,2,8,18,16,287,8,0
128,128,39,5,1,0,0,1,0,1,6,1,102,1,26,0,2,8,18,16,287,8,0
129,129,24,9,1,5,2,1,0,1,6,1,579,0,26,0,2,8,18,16,287,8,1
130,130,20,1,1,1,0,1,1,1,6,1,143,0,26,0,2,8,18,16,287,8,0
131,131,24,9,1,5,2,0,0,1,6,1,677,0,26,0,2,8,18,16,287,8,0
132,132,18,1,1,7,0,1,0,1,6,1,267,0,26,0,2,8,18,16,287,8,0
133,133,20,1,1,1,0,1,0,1,6,1,345,0,26,0,2,8,18,16,287,8,0
134,134,35,4,1,6,0,0,0,1,6,1,185,0,26,0,2,8,18,16,287,8,0
135,135,22,4,0,6,0,0,0,1,6,1,207,0,26,0,2,8,18,16,287,8,0
136,136,22,3,1,0,2,0,0,1,6,1,69,1,26,0,2,8,18,16,287,8,0
137,137,39,1,1,0,2,0,0,1,6,1,100,1,26,0,2,8,18,16,287,8,0
138,138,17,7,1,3,0,1,0,1,6,1,125,1,26,0,2,8,18,16,287,8,0
139,139,28,1,1,2,2,1,0,1,6,1,461,0,26,0,2,8,18,16,287,8,1
140,140,26,10,2,6,0,1,0,1,6,1,240,0,26,0,2,8,18,16,287,8,0
141,141,39,4,1,7,0,1,0,1,6,1,70,0,26,0,2,8,18,16,287,8,0
142,142,22,4,1,6,0,1,0,1,6,1,193,0,26,0,2,8,18,16,287,8,0
143,143,36,1,1,0,0,1,0,1,6,1,136,0,26,0,2,8,18,16,287,8,0
144,144,21,11,0,3,2,1,0,1,6,1,73,0,26,0,2,8,18,16,287,8,0
145,145,25,1,1,0,2,1,0,1,6,1,528,0,26,0,2,8,18,16,287,8,0
146,146,25,1,1,0,2,0,0,1,6,1,541,0,26,0,2,8,18,16,287,8,0
147,147,18,0,2,3,0,1,0,1,6,1,338,0,26,0,2,8,18,16,287,8,0
148,148,23,0,1,6,2,1,0,1,6,1,163,0,26,0,2,8,18,16,287,8,0
149,149,34,1,1,0,0,1,0,1,6,1,87,0,26,0,2,8,18,16,287,8,0
150,150,43,1,1,2,2,0,0,1,6,1,301,0,26,0,2,8,18,16,287,8,0
151,151,39,2,1,7,2,1,0,1,6,1,46,0,26,0,2,8,18,16,287,8,0
152,152,22,7,0,3,2,1,0,1,6,1,52,0,26,0,2,8,18,16,287,8,0
153,153,39,2,1,7,2,0,0,1,6,1,204,0,26,0,2,8,18,16,287,8,0
154,154,23,1,1,7,0,1,1,1,6,1,155,0,26,0,2,8,18,16,287,8,0
155,155,19,1,1,2,0,1,1,1,6,1,98,0,26,0,2,8,18,16,287,8,0
156,156,34,1,1,7,2,1,0,1,6,1,71,0,26,0,2,8,18,16,287,8,0
157,157,34,1,1,7,2,0,0,1,6,1,243,0,26,0,2,8,18,16,287,8,0
158,158,26,9,2,5,0,1,0,1,6,1,186,1,26,0,2,8,18,16,287,8,0
159,159,42,7,1,3,0,0,0,1,6,1,579,1,26,0,2,8,18,16,287,8,0
160,160,7,4,2,6,0,1,0,1,6,1,165,1,26,0,2,8,18,16,287,8,0
161,161,20,1,2,2,2,1,1,1,6,1,163,1,26,0,2,8,18,16,287,8,0
162,162,23,1,1,2,2,0,0,1,6,1,46,0,26,0,2,8,18,16,287,8,0
163,163,25,1,1,2,2,0,0,1,6,1,559,2,26,0,2,8,18,16,287,8,0
164,164,22,7,0,3,2,0,0,1,6,1,1491,0,26,0,2,8,18,16,287,8,0
165,165,20,2,1,1,0,0,0,1,6,1,85,0,26,0,2,8,18,16,287,8,0
166,166,21,7,1,3,0,1,1,1,6,1,506,0,26,0,2,8,18,16,287,8,0
167,167,39,0,0,7,2,0,0,1,6,1,114,1,26,0,2,8,18,16,287,8,0
168,168,23,1,1,7,0,0,0,1,6,1,114,1,26,0,2,8,18,16,287,8,0
169,169,37,4,0,6,0,1,0,1,6,1,842,1,26,0,2,8,18,16,287,8,0
170,170,26,1,1,3,2,0,1,1,6,1,181,0,26,0,2,8,18,16,287,8,0
171,171,19,7,1,3,2,0,0,1,6,1,427,0,26,0,2,8,18,16,287,8,0
172,172,28,9,1,6,0,1,1,1,6,1,292,0,26,0,2,8,18,16,287,8,0
173,173,25,0,2,6,2,0,0,1,6,1,192,0,26,0,2,8,18,16,287,8,0
174,174,26,7,1,3,0,0,0,1,6,1,93,2,26,0,2,8,18,16,287,8,0
175,175,29,4,1,2,0,0,0,1,6,1,128,1,26,0,2,8,18,16,287,8,0
176,176,27,7,1,3,0,1,1,1,6,1,107,0,26,0,2,8,18,16,287,8,0
177,177,34,0,2,1,0,0,0,1,6,1,303,1,26,0,2,8,18,16,287,8,0
178,178,11,7,1,3,0,1,0,1,6,1,81,0,26,0,2,8,18,16,287,8,0
179,179,20,1,1,2,0,0,0,1,6,1,270,0,26,0,2,8,18,16,287,8,0
180,180,17,9,1,3,0,0,0,1,6,1,228,0,26,0,2,8,18,16,287,8,0
181,181,29,1,1,1,2,1,0,1,6,1,240,0,26,0,2,8,18,16,287,8,0
182,182,25,1,1,2,0,1,1,1,6,1,673,1,26,0,2,8,18,16,287,8,1
183,183,19,0,1,6,0,1,0,1,6,1,233,2,26,0,2,8,18,16,287,8,0
184,184,37,1,1,0,2,0,0,1,6,1,102,0,26,0,2,8,18,16,287,8,0
185,185,40,4,1,6,0,0,0,1,6,1,461,0,26,0,2,8,18,16,287,8,0
186,186,34,9,1,1,2,0,0,1,6,1,250,0,26,0,2,8,18,16,287,8,0
187,187,37,5,1,3,2,0,0,1,6,1,130,0,26,0,2,8,18,16,287,8,0
188,188,32,1,1,0,2,0,0,1,6,1,252,0,26,0,2,8,18,16,287,8,0
189,189,17,0,1,6,0,1,0,1,6,1,138,0,26,0,2,8,18,16,287,8,0
190,190,24,9,1,5,0,0,0,1,6,1,412,0,26,0,2,8,18,16,287,8,0
191,191,21,1,2,2,0,1,0,1,6,1,179,1,26,0,2,8,18,16,287,8,0
192,192,28,4,0,6,0,0,0,1,6,1,19,1,26,0,2,8,18,16,287,8,0
193,193,25,9,1,6,0,0,0,1,6,1,228,1,26,0,2,8,18,16,287,8,0
194,194,17,1,2,2,2,1,0,1,6,1,55,0,26,0,2,8,18,16,287,8,0
195,195,31,1,1,0,0,1,0,1,6,1,717,0,26,0,2,8,18,16,287,8,0
196,196,20,0,1,3,2,1,0,1,6,1,313,0,26,0,2,8,18,16,287,8,0
197,197,17,1,2,2,2,0,0,1,6,1,289,0,26,0,2,8,18,16,287,8,0
198,198,23,0,1,2,2,1,0,1,6,1,683,1,26,0,2,8,18,16,287,8,0
199,199,26,1,1,1,0,1,0,1,6,1,1067,0,26,0,2,8,18,16,287,8,0
200,200,16,7,1,3,0,0,0,1,6,1,146,1,26,0,2,8,18,16,287,8,0
201,201,15,7,2,1,0,0,0,1,6,1,167,0,26,0,2,8,18,16,287,8,0
202,202,22,1,1,3,0,1,0,1,6,1,356,1,26,0,2,8,18,16,287,8,0
203,203,26,0,1,7,0,0,0,1,6,1,277,0,26,0,2,8,18,16,287,8,0
204,204,27,1,1,2,0,1,0,1,6,1,172,0,26,0,2,8,18,16,287,8,0
205,205,18,8,2,6,2,0,0,1,6,1,218,0,26,0,2,8,18,16,287,8,0
206,206,18,8,2,6,2,1,1,1,6,1,217,0,26,0,2,8,18,16,287,8,0
207,207,18,10,1,5,0,0,0,1,6,1,67,0,26,0,2,8,18,16,287,8,0
208,208,19,7,2,0,0,0,0,1,6,1,291,0,26,0,2,8,18,16,287,8,0
209,209,18,8,2,6,2,1,0,1,6,1,248,0,26,0,2,8,18,16,287,8,0
210,210,19,8,2,2,0,1,0,1,6,1,256,0,26,0,2,8,18,16,287,8,0
211,211,38,3,0,6,0,0,0,1,6,1,286,0,26,0,2,8,18,16,287,8,0
212,212,42,0,1,6,0,0,0,1,6,1,477,0,26,0,2,8,18,16,287,8,0
213,213,40,5,1,7,2,0,0,1,6,1,611,1,26,0,2,8,18,16,287,8,0
214,214,22,1,1,5,2,1,0,1,6,1,471,0,26,0,2,8,18,16,287,8,0
215,215,22,3,1,0,2,1,0,1,6,1,381,1,26,0,2,8,18,16,287,8,0
216,216,13,1,2,7,0,1,0,1,6,1,251,0,26,0,2,8,18,16,287,8,0
217,217,13,1,2,7,0,1,1,1,6,1,408,0,26,0,2,8,18,16,287,8,0
218,218,33,3,1,0,2,0,0,1,6,1,287,0,26,0,2,8,18,16,287,8,0
219,219,23,7,1,3,0,0,0,1,6,1,322,2,26,0,2,8,18,16,287,8,0
220,220,18,0,1,3,0,1,0,1,6,1,216,1,26,0,2,8,18,16,287,8,0
221,221,26,9,1,7,2,0,0,1,6,1,366,1,26,0,2,8,18,16,287,8,0
222,222,19,7,2,1,2,1,0,1,6,1,210,0,26,0,2,8,18,16,287,8,0
223,223,29,9,1,0,2,1,0,1,6,1,288,0,26,0,2,8,18,16,287,8,0
224,224,23,9,1,2,0,0,0,1,6,1,168,0,26,0,2,8,18,16,287,8,0
225,225,41,5,1,6,0,0,0,1,6,1,132,0,26,0,2,8,18,16,287,8,0
226,226,25,9,1,6,0,0,0,1,6,1,64,1,26,0,2,8,18,16,287,8,0
227,227,18,0,2,6,0,0,0,1,6,1,209,1,26,0,2,8,18,16,287,8,0
228,228,26,5,1,0,2,0,0,1,6,1,410,2,26,0,2,8,18,16,287,8,0
229,229,28,1,1,0,0,1,1,1,6,1,177,0,26,0,2,8,18,16,287,8,0
230,230,22,0,1,5,0,1,0,1,6,1,580,1,26,0,2,8,18,16,287,8,0
231,231,33,7,0,5,0,1,0,1,6,1,165,0,26,0,2,8,18,16,287,8,0
232,232,15,4,0,0,2,1,0,1,6,1,127,1,26,0,2,8,18,16,287,8,0
233,233,22,0,1,3,2,0,0,1,6,1,357,0,26,0,2,8,18,16,287,8,0
234,234,35,6,1,6,2,0,0,1,6,1,175,0,26,0,2,8,18,16,287,8,0
235,235,27,0,1,5,0,1,0,1,6,1,300,0,26,0,2,8,18,16,287,8,0
236,236,39,1,1,0,0,0,0,1,6,1,136,0,26,0,2,8,18,16,287,8,0
237,237,31,0,1,3,0,0,0,1,6,1,125,1,26,0,2,8,18,16,287,8,0
238,238,16,7,1,3,2,0,1,1,6,1,189,1,26,0,2,8,18,16,287,8,0
239,239,26,4,1,6,2,0,1,1,6,1,213,2,26,0,2,8,18,16,287,8,0
240,240,40,5,1,3,0,0,0,1,6,1,238,1,26,0,2,8,18,16,287,8,0
241,241,19,9,2,5,0,0,0,1,6,1,124,0,26,0,2,8,18,16,287,8,0
242,242,17,4,1,6,0,1,0,1,6,1,18,0,26,0,2,8,18,16,287,8,0
243,243,17,7,2,2,0,0,0,1,6,1,730,1,26,0,2,8,18,16,287,8,0
244,244,13,9,1,6,2,0,0,1,6,1,40,0,26,0,2,8,18,16,287,8,0
245,245,16,7,0,7,0,0,0,1,6,1,181,1,26,0,2,8,18,16,287,8,0
246,246,15,9,2,5,0,0,0,1,6,1,79,0,26,0,2,8,18,16,287,8,0
247,247,19,9,2,3,0,1,0,1,6,1,142,1,26,0,2,8,18,16,287,8,0
248,248,19,1,2,3,0,0,1,1,6,1,389,0,26,0,2,8,18,16,287,8,0
249,249,16,7,2,3,0,0,0,1,6,1,702,0,26,0,2,8,18,16,287,8,0
250,250,23,9,0,5,0,0,0,1,6,1,151,0,26,0,2,8,18,16,287,8,0
251,251,24,1,1,0,0,1,0,1,6,1,211,0,26,0,2,8,18,16,287,8,0
252,252,34,7,1,1,0,1,0,1,6,1,117,0,26,0,2,8,18,16,287,8,0
253,253,19,9,1,5,0,1,0,1,6,1,232,2,26,0,2,8,18,16,287,8,0
254,254,11,7,1,7,0,0,0,1,6,1,408,1,26,0,2,8,18,16,287,8,0
255,255,36,7,1,3,0,1,1,1,6,1,370,2,26,0,2,8,18,16,287,8,0
256,256,41,1,1,2,2,1,0,1,6,1,179,1,26,0,2,8,18,16,287,8,0
257,257,28,4,1,2,0,0,1,1,6,1,46,0,26,0,2,8,18,16,287,8,0
258,258,26,9,1,7,0,1,0,1,6,1,200,0,26,0,2,8,18,16,287,8,0
259,259,16,0,1,3,0,0,1,1,6,1,50,0,26,0,2,8,18,16,287,8,0
260,260,16,0,1,3,0,0,1,1,6,1,181,0,26,0,2,8,18,16,287,8,0
261,261,10,1,2,1,0,2,2,1,6,1,119,0,26,0,2,8,18,16,287,8,0
262,262,25,9,1,3,0,0,0,1,6,1,361,0,26,0,2,8,18,16,287,8,0
263,263,26,0,0,2,0,0,0,1,6,1,73,2,26,0,2,8,18,16,287,8,0
264,264,25,0,1,6,0,0,0,1,6,1,67,1,26,0,2,8,18,16,287,8,0
265,265,10,1,2,1,0,0,0,1,6,1,350,0,26,0,2,8,18,16,287,8,0
266,266,17,6,2,6,0,1,0,1,6,1,150,1,26,0,2,8,18,16,287,8,0
267,267,14,8,2,6,2,0,0,1,6,1,332,1,26,0,2,8,18,16,287,8,0
268,268,37,4,0,6,0,0,0,1,6,1,611,1,26,0,2,8,18,16,287,8,0
269,269,23,6,1,0,2,0,0,1,6,1,58,2,26,0,2,8,18,16,287,8,0
270,270,35,10,1,3,2,1,0,1,6,1,151,0,26,0,2,8,18,16,287,8,0
271,271,30,4,0,6,0,0,0,1,6,1,89,1,26,0,2,8,18,16,287,8,0
272,272,32,3,1,2,2,0,0,1,6,1,152,0,26,0,2,8,18,16,287,8,0
273,273,15,0,2,3,0,0,0,1,6,1,611,1,26,0,2,8,18,16,287,8,0
274,274,32,3,2,3,2,1,1,1,6,1,110,1,26,0,2,8,18,16,287,8,0
275,275,33,1,1,2,2,0,0,1,6,1,463,0,26,0,2,8,18,16,287,8,0
276,276,17,7,1,3,0,0,0,1,6,1,958,0,26,0,2,8,18,16,287,8,0
277,277,38,1,1,0,2,0,0,1,6,1,102,1,26,0,2,8,18,16,287,8,0
278,278,30,9,2,2,0,0,0,1,6,1,10,3,26,0,2,8,18,16,287,8,0
279,279,34,5,1,5,0,0,0,1,6,1,118,2,26,0,2,8,18,16,287,8,0
280,280,30,1,1,1,0,0,0,1,6,1,92,1,26,0,2,8,18,16,287,8,0
281,281,39,9,1,0,0,1,0,1,6,1,143,2,26,0,2,8,18,16,287,8,0
282,282,36,0,1,2,0,0,0,1,6,1,189,2,26,0,2,8,18,16,287,8,0
283,283,19,1,1,2,0,1,0,1,6,1,75,1,26,0,2,8,18,16,287,8,0
284,284,25,1,0,2,0,1,0,1,6,1,189,1,26,0,2,8,18,16,287,8,0
285,285,27,1,0,1,0,0,0,1,6,1,55,1,26,0,2,8,18,16,287,8,0
286,286,22,3,1,2,0,1,0,1,6,1,932,2,26,0,2,8,18,16,287,8,1
287,287,20,0,2,3,0,1,1,1,6,1,56,1,26,0,2,8,18,16,287,8,0
288,288,43,1,1,7,2,1,0,1,6,1,5,1,26,0,2,8,18,16,287,8,0
289,289,19,7,1,3,0,0,0,1,6,1,225,1,26,0,2,8,18,16,287,8,0
290,290,25,4,0,6,0,1,0,1,6,1,125,1,26,0,2,8,18,16,287,8,0
291,291,14,0,1,3,0,1,1,1,6,1,286,1,26,0,2,8,18,16,287,8,0
292,292,36,9,0,5,2,0,1,1,6,1,206,1,26,0,2,8,18,16,287,8,0
293,293,28,1,1,0,0,1,0,1,6,1,164,1,26,0,2,8,18,16,287,8,0
294,294,20,9,2,5,0,1,0,1,6,1,98,1,26,0,2,8,18,16,287,8,0
295,295,30,6,1,5,0,0,0,1,6,1,446,1,26,0,2,8,18,16,287,8,0
296,296,32,1,0,3,0,0,1,1,6,1,742,1,26,0,2,8,18,16,287,8,0
297,297,19,0,1,6,0,1,0,1,6,1,120,1,26,0,2,8,18,16,287,8,0
298,298,18,7,0,3,0,0,0,1,6,1,122,2,26,0,2,8,18,16,287,8,0
299,299,21,11,1,7,2,0,0,1,6,1,362,3,26,0,2,8,18,16,287,8,0
